Brand,Product Name,Price ($),Origin,Health Claims,Bioactives,Source
Leh Berry,Leh Berry Sea buckthorn Juice,54.02,"Nubra Valley, Ladakh","Promotes skin health, Skin hydration, Menopause support, Cellular Hydration","Vitamin E, Vitamin A, Vitamin C, 180+ Bioactives, Omega 9",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Juice,57.78,Himalayas (India),"Menopause support, Promotes skin health, Stress Relief, Skin hydration","Vitamin E, Vitamin K, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Wonder Berry Capsules,29.65,Himalayas (India),"Promotes skin health, Immunity, Heart & Metabolic health","Omega 7, 180+ Bioactives, Omega 9, Vitamin C",Generated based on prompt domain knowledge
Leh Berry,Leh Berry GI TAG Berry Powder,15.32,"Nubra Valley, Ladakh","Stress Relief, Gut Friendly, Cellular Hydration","Omega 9, Vitamin C, Vitamin K, Vitamin E, Omega 3, 180+ Bioactives",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Wonder Berry Capsules,61.41,China,"Immunity, Stress Relief, Gut Friendly","Vitamin A, 180+ Bioactives, Vitamin C, Vitamin E, Omega 3, Omega 9",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Wonder Berry Capsules,26.0,"Nubra Valley, Ladakh","Heart & Metabolic health, Menopause support, Anti Ageing","Omega 3, 180+ Bioactives, Vitamin A, Vitamin C",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,48.17,Himalayas (India),"Heart & Metabolic health, Cellular Hydration, Skin hydration, Menopause support","Vitamin A, Vitamin E, 180+ Bioactives",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Tea,22.56,"Nubra Valley, Ladakh","Cellular Hydration, Menopause support","Vitamin K, Omega 3, Vitamin C, 180+ Bioactives, Omega 9",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Tea,23.38,Unknown,"Promotes skin health, Stress Relief","Vitamin E, Omega 6, 180+ Bioactives, Omega 7, Vitamin A, Vitamin C",Generated based on prompt domain knowledge
Sibu,Sibu Wonder Berry Capsules,47.87,Unknown,"Stress Relief, Gut Friendly","Vitamin E, Vitamin C, Omega 3, Omega 9",Generated based on prompt domain knowledge
WellWith,WellWith GI TAG Berry Powder,34.69,"Nubra Valley, Ladakh","Immunity, Stress Relief","Vitamin A, Omega 7, Vitamin K, Vitamin C",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Oil,35.99,"Nubra Valley, Ladakh","Menopause support, Cellular Hydration, Anti Ageing","Vitamin E, 180+ Bioactives, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Tea,46.54,China,"Heart & Metabolic health, Gut Friendly, Menopause support","Omega 3, Omega 9, Omega 7, Omega 6",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom GI TAG Berry Powder,62.62,"Nubra Valley, Ladakh","Heart & Metabolic health, Skin hydration, Menopause support, Gut Friendly","Vitamin A, Omega 7, Omega 6",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,28.41,"Nubra Valley, Ladakh","Anti Ageing, Cellular Hydration","Vitamin C, Omega 6, Vitamin E, Omega 7",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,16.02,Himalayas (India),"Gut Friendly, Anti Ageing, Menopause support","Omega 6, Omega 9, Vitamin A, Omega 3, Vitamin C",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,38.75,Himalayas (India),"Stress Relief, Gut Friendly, Menopause support, Immunity","Omega 9, Omega 6, Vitamin A, Omega 3, Vitamin K",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Juice,42.94,China,"Stress Relief, Skin hydration, Anti Ageing","Omega 3, Vitamin K, Omega 6, Vitamin A, 180+ Bioactives",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Tea,16.73,Himalayas (India),"Heart & Metabolic health, Skin hydration, Immunity","Omega 7, Vitamin K, Omega 6, Omega 9, 180+ Bioactives",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Oil,25.92,Himalayas (India),"Stress Relief, Immunity, Cellular Hydration","Vitamin A, Omega 7, Omega 3, Vitamin E, Vitamin C",Generated based on prompt domain knowledge
Pahari haat,Pahari haat Sea buckthorn Juice,46.51,"Nubra Valley, Ladakh","Immunity, Cellular Hydration, Gut Friendly, Skin hydration","Omega 6, Vitamin K, Omega 9, Omega 3",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Juice,40.51,Himalayas (India),"Cellular Hydration, Skin hydration","Omega 9, 180+ Bioactives, Omega 7, Omega 6",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Tea,43.17,China,"Menopause support, Gut Friendly","Vitamin E, Omega 9, Omega 6, Omega 7, Vitamin A, Vitamin K",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders GI TAG Berry Powder,20.62,China,"Skin hydration, Gut Friendly, Immunity, Heart & Metabolic health","Omega 6, Omega 7, Omega 3, Vitamin A",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Juice,26.97,Himalayas (India),"Anti Ageing, Stress Relief","Vitamin K, 180+ Bioactives, Omega 7, Vitamin E, Omega 9",Generated based on prompt domain knowledge
Pahari haat,Pahari haat GI TAG Berry Powder,34.15,Himalayas (India),"Cellular Hydration, Anti Ageing, Heart & Metabolic health, Skin hydration","Omega 3, Omega 9, Omega 7, Vitamin K, 180+ Bioactives",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Oil,44.59,Himalayas (India),"Anti Ageing, Menopause support, Promotes skin health","Vitamin A, 180+ Bioactives, Omega 3, Vitamin E",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,20.17,"Nubra Valley, Ladakh","Cellular Hydration, Menopause support, Gut Friendly","Omega 6, Vitamin A, Omega 9, Vitamin K",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Wonder Berry Capsules,44.85,"Nubra Valley, Ladakh","Gut Friendly, Menopause support, Cellular Hydration, Promotes skin health","Omega 7, Omega 6, Vitamin E, Omega 9, 180+ Bioactives",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Oil,28.75,Himalayas (India),"Immunity, Stress Relief, Anti Ageing","Omega 9, Omega 6, Vitamin K, Vitamin A, Omega 7",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,37.82,Unknown,"Promotes skin health, Skin hydration, Stress Relief, Immunity","Vitamin E, Omega 7, Vitamin C, Vitamin K, Omega 9, Omega 3",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Juice,20.18,China,"Immunity, Skin hydration, Promotes skin health","Omega 7, Vitamin A, Omega 6, Omega 9, Omega 3",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd GI TAG Berry Powder,57.56,Himalayas (India),"Promotes skin health, Heart & Metabolic health","Omega 7, Vitamin A, Omega 6",Generated based on prompt domain knowledge
Weleda,Weleda Sea buckthorn Oil,28.48,Unknown,"Immunity, Stress Relief, Gut Friendly","Vitamin E, Omega 7, Omega 6",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,24.1,Unknown,"Immunity, Anti Ageing, Cellular Hydration","Vitamin K, Omega 7, Vitamin C",Generated based on prompt domain knowledge
Weleda,Weleda Sea buckthorn Oil,40.56,China,"Heart & Metabolic health, Immunity","Vitamin E, Vitamin C, Omega 7, Omega 9",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Wonder Berry Capsules,51.48,"Nubra Valley, Ladakh","Cellular Hydration, Menopause support, Immunity","Vitamin C, Vitamin K, 180+ Bioactives, Vitamin E, Omega 6, Omega 3",Generated based on prompt domain knowledge
